,town_geocode
145,"('1.32884321524242', '103.939123687022')"
146,"('1.32925881944574', '103.939046430321')"
147,"('1.327740236451', '103.939005696963')"
148,"('1.32755443192195', '103.938030484223')"
149,"('1.33001011188999', '103.936343483972')"
150,"('1.33250261426447', '103.938587125421')"
151,"('1.3343559340081', '103.939032711241')"
152,"('1.32929126082802', '103.931090689284')"
153,"('1.33055472908632', '103.933686723902')"
154,"('1.33098173461878', '103.933604621756')"
155,"('1.32936960154503', '103.929067536324')"
156,"('1.32840382815915', '103.930684870347')"
157,"('1.32856421177174', '103.930036524233')"
158,"('1.32842000962637', '103.927482677521')"
159,"('1.32697957771794', '103.928130747142')"
160,"('1.32815498828204', '103.93522082327')"
161,"('1.33426946144275', '103.926542284602')"
162,"('1.3324467322696', '103.930476688129')"
163,"('1.3347035219436', '103.929040927901')"
164,"('1.32565628436985', '103.927990975389')"
165,"('1.32735657423855', '103.933767800546')"
166,"('1.32635298072477', '103.932637214105')"
167,"('1.33419173917878', '103.925386600613')"
168,"('1.33358016248275', '103.92421866691')"
169,"('1.3335411894605', '103.923190774432')"
170,"('1.33177300757048', '103.924236461237')"
171,"('1.32901430131171', '103.925667777871')"
172,"('1.33112972920094', '103.922092625931')"
173,"('1.33723650407652', '103.918924437798')"
174,"('1.33224981185032', '103.915868711978')"
175,"('1.33590729186163', '103.922634043137')"
176,"('1.32930431416537', '103.922415807329')"
177,"('1.32947840879761', '103.921105111921')"
178,"('1.33122227931301', '103.913799873642')"
179,"('1.33182713238417', '103.914991045591')"
180,"('1.32090966739298', '103.935541944296')"
181,"('1.32205652925918', '103.93835472666')"
182,"('1.32163299655185', '103.938441289401')"
183,"('1.32233220742919', '103.939766219283')"
184,"('1.32105071817917', '103.94080318215')"
185,"('1.32147847826862', '103.940721046918')"
186,"('1.32432684067535', '103.942429994179')"
187,"('1.32342985805207', '103.942269407116')"
188,"('1.32284176978435', '103.936046815062')"
189,"('1.33663363411169', '103.925744921529')"
190,"('1.33714403979137', '103.928433830286')"
191,"('1.32004079860245', '103.945196685812')"
192,"('1.32041601736618', '103.942732310081')"
193,"('1.32953680475668', '103.940406562732')"
194,"('1.32726007220341', '103.940848770214')"
195,"('1.32769194470055', '103.940763685492')"
196,"('1.32848132017235', '103.940611608837')"
197,"('1.32832133313255', '103.93658216345')"
198,"('1.3281683000397', '103.938917890645')"
