,town_geocode
1644,"('1.32308876681681', '103.883739097439')"
1645,"('1.32314313124757', '103.90344909234')"
1646,"('1.32430637458121', '103.902160591904')"
1647,"('1.35938669669059', '103.88663487809')"
1648,"('1.35650868784233', '103.891840640482')"
1649,"('1.35223030818128', '103.885711060613')"
1650,"('1.36874824600499', '103.896534515412')"
1651,"('1.36894817453626', '103.898718101831')"
1652,"('1.37014137094094', '103.897850263624')"
1653,"('1.37240832629388', '103.899433277247')"
1654,"('1.37173981118278', '103.898999982217')"
1655,"('1.37490432557755', '103.895995988554')"
1656,"('1.37568570260788', '103.896283815056')"
1657,"('1.35197715513941', '103.883313455892')"
1658,"('1.37214361496552', '103.899515180599')"
1659,7 TEBAN GDNS RDunavailable
1660,13 TEBAN GDNS RDunavailable
1661,"('1.31902239271028', '103.746691863405')"
1662,"('1.34920755762646', '103.731256052741')"
1663,"('1.34835818598708', '103.730092202588')"
1664,"('1.3411274954664', '103.738101187795')"
1665,"('1.33609657873553', '103.738219191663')"
1666,"('1.33756440098279', '103.742881138117')"
1667,"('1.34820836305368', '103.733799342203')"
1668,"('1.33828124030497', '103.73701474739')"
1669,"('1.33780382054265', '103.741997788111')"
1670,"('1.32184396296011', '103.739872521955')"
1671,"('1.32158737897173', '103.740986913838')"
1672,"('1.34171403139747', '103.736733166148')"
1673,"('1.33724965052823', '103.737674650927')"
1674,"('1.33903256648275', '103.739773775263')"
1675,"('1.34177658836855', '103.740057253589')"
1676,"('1.33683389097317', '103.742544497471')"
1677,"('1.34665351063977', '103.733275157188')"
1678,"('1.35012661651533', '103.730687889533')"
1679,"('1.32035484260702', '103.750300419587')"
1680,"('1.31889048230784', '103.748627513117')"
1681,"('1.33953084548923', '103.73780943839')"
1682,"('1.34880342091286', '103.728984380177')"
1683,"('1.35041039841488', '103.731481482818')"
1684,"('1.35124158359642', '103.730961431641')"
1685,"('1.34745759842817', '103.719968013012')"
1686,"('1.35140999298197', '103.723600768486')"
1687,"('1.35030062908903', '103.722313913056')"
1688,"('1.35032904500392', '103.720911817526')"
1689,"('1.34659254352768', '103.717247558535')"
1690,"('1.34967446991628', '103.711680539382')"
1691,"('1.34508681384068', '103.717978485296')"
1692,"('1.3483779798726', '103.719448323487')"
1693,"('1.35327579127819', '103.725111457509')"
1694,"('1.35372257124031', '103.725202727545')"
1695,"('1.35256372860883', '103.723569457588')"
1696,"('1.35059213918849', '103.715348643271')"
1697,"('1.35159913494273', '103.725287626291')"
1698,"('1.34908194843027', '103.72619549188')"
1699,"('1.34735316476219', '103.723952193836')"
1700,"('1.35114454366715', '103.726473130998')"
1701,"('1.35130933561361', '103.727345002671')"
1702,"('1.3502543792217', '103.726390598371')"
1703,"('1.34955642619511', '103.720801288376')"
1704,"('1.34852648204884', '103.720486241454')"
1705,"('1.35366860451456', '103.718853145615')"
1706,"('1.35180253711599', '103.720394145176')"
1707,"('1.35131373566097', '103.725596710632')"
1708,"('1.35478633435811', '103.722563908677')"
1709,"('1.35409792704061', '103.725324736878')"
1710,"('1.35362210304169', '103.717858506741')"
1711,"('1.3225873518737', '103.861107276991')"
1712,"('1.294801401498', '103.854467487996')"
1713,"('1.30458618988007', '103.860840751642')"
1714,"('1.30505411579746', '103.861916751532')"
1715,"('1.31909343822193', '103.863905325578')"
1716,"('1.31270729475511', '103.870690585664')"
1717,"('1.32158321590245', '103.871419569078')"
1718,"('1.32264236942866', '103.870596516216')"
1719,"('1.32353780675049', '103.86914775647')"
1720,"('1.3131547875762', '103.850908276253')"
1721,"('1.31551162976199', '103.850377879064')"
1722,"('1.32318991590206', '103.859696970213')"
1723,"('1.32357575802378', '103.859877235646')"
1724,"('1.30082885462595', '103.883694825656')"
1725,"('1.30129028933217', '103.884012115114')"
1726,"('1.30315437968651', '103.883912023247')"
1727,"('1.32804097925819', '103.856665912067')"
1728,"('1.32340263694069', '103.86163080083')"
1729,"('1.321556727417', '103.855666149292')"
1730,"('1.30368952030975', '103.863575539303')"
1731,"('1.3158732490877', '103.871296185183')"
1732,"('1.32102001237887', '103.860997837489')"
1733,"('1.3135861663611', '103.85169992386')"
1734,"('1.32323455697139', '103.862732454087')"
1735,3 LIM CHU KANG RDunavailable
1736,"('1.30572354541959', '103.91253050447')"
1737,"('1.30378544168669', '103.916495343331')"
1738,"('1.30456341339138', '103.91722903852')"
1739,"('1.30371588728852', '103.915067020322')"
1740,"('1.30264896606627', '103.912184784558')"
1741,"('1.30337032890276', '103.907439956881')"
1742,"('1.30356090713874', '103.907031513853')"
1743,"('1.30530229101584', '103.915014006287')"
1744,"('1.30402508947699', '103.913501458863')"
1745,"('1.30153313447993', '103.907812007948')"
1746,"('1.3020158078523', '103.908586206495')"
1747,"('1.29777231701969', '103.798017132713')"
1748,"('1.29680899455533', '103.798361469054')"
1749,"('1.29895181002755', '103.79854165188')"
1750,10 GHIM MOH RDunavailable
1751,"('1.29383157604314', '103.802625136923')"
1752,"('1.29043486528791', '103.803105948762')"
1753,27A C'WEALTH AVEunavailable
1754,"('1.29429993967601', '103.799725944793')"
1755,"('1.30878949399241', '103.792695569227')"
1756,80 C'WEALTH DRunavailable
1757,"('1.30619182602956', '103.8011938191')"
1758,"('1.30770527644458', '103.801272476263')"
1759,"('1.29832473669253', '103.799839181345')"
1760,"('1.29910609683302', '103.799561949337')"
1761,"('1.30970737767411', '103.789099862759')"
1762,"('1.35060795612848', '103.875680063863')"
1763,"('1.35318021089479', '103.867119538611')"
1764,"('1.35786532790131', '103.873424839621')"
1765,"('1.3551338137075', '103.869137347738')"
1766,"('1.35474706561703', '103.868731989138')"
1767,"('1.34915702958254', '103.877006943654')"
1768,"('1.35633276245751', '103.873366015559')"
1769,"('1.35755258004484', '103.873140468743')"
1770,"('1.35288347756585', '103.867822811475')"
1771,"('1.36693542180082', '103.8712847222')"
1772,"('1.35362308168848', '103.865716642199')"
1773,"('1.3669585129808', '103.872593551192')"
1774,"('1.35171765014011', '103.951963085466')"
1775,"('1.35061228147276', '103.939397414558')"
1776,"('1.34786646438205', '103.94856161626')"
1777,"('1.34775409909298', '103.952436774993')"
1778,"('1.34841857750645', '103.943725846535')"
1779,"('1.35419527444806', '103.947122094105')"
1780,"('1.35186837515817', '103.948463265355')"
1781,"('1.35751860691899', '103.947536321519')"
1782,"('1.35322549774418', '103.947232182338')"
1783,"('1.35018359420823', '103.955775653808')"
1784,"('1.35830242194338', '103.950658405067')"
1785,"('1.34574577748224', '103.941348203942')"
1786,"('1.35329703032126', '103.951491024758')"
1787,"('1.34753519689194', '103.951702776881')"
1788,"('1.34880182138885', '103.943691020379')"
1789,"('1.3496215142655', '103.946000691097')"
1790,"('1.35513568082374', '103.949985923955')"
1791,"('1.35551706060218', '103.952686477721')"
1792,"('1.34524172287507', '103.939098694607')"
1793,"('1.3582722131871', '103.947308949059')"
1794,"('1.35794464402799', '103.950999070017')"
1795,"('1.35403883742636', '103.946583772874')"
1796,"('1.35640933580615', '103.947528676983')"
1797,"('1.35402365617519', '103.953988554843')"
1798,"('1.35593143453856', '103.953944534569')"
1799,"('1.34601425203044', '103.940985246396')"
1800,"('1.3474951052091', '103.940762770964')"
1801,"('1.35162194359965', '103.945090000876')"
1802,"('1.33894969177117', '103.857138926344')"
1803,"('1.33860148626926', '103.857914069837')"
1804,"('1.33828365922679', '103.858467966719')"
1805,"('1.34123713837195', '103.845306137194')"
1806,"('1.33864901784911', '103.845703844955')"
1807,"('1.33904479783226', '103.85554106336')"
1808,"('1.33358025794591', '103.84926452128')"
1809,"('1.34203351013688', '103.850648936995')"
1810,"('1.34220948332494', '103.847727620222')"
1811,"('1.33411338676706', '103.86952371664')"
1812,"('1.33605593871885', '103.863599507828')"
1813,"('1.33705392055699', '103.851495573635')"
1814,"('1.34262180790845', '103.856971772685')"
1815,"('1.33335596212429', '103.848865687447')"
1816,"('1.33189327620475', '103.851025403234')"
1817,"('1.34148414007449', '103.849067723667')"
1818,"('1.34100493622927', '103.85441254396')"
1819,"('1.33237317770639', '103.866165158665')"
1820,"('1.33356221015123', '103.865458562014')"
1821,"('1.33647717186602', '103.880345921024')"
1822,"('1.3387183120625', '103.85919463592')"
1823,"('1.3424720602594', '103.854178690288')"
1824,"('1.34182813684783', '103.855107925609')"
1825,"('1.43847983955609', '103.778613439344')"
1826,"('1.44315121142693', '103.775164777049')"
1827,"('1.44166906487399', '103.776733408183')"
1828,"('1.43972694576355', '103.775382958136')"
1829,"('1.43045950870745', '103.782003060129')"
1830,"('1.43684476168491', '103.781579113316')"
1831,"('1.44697084540303', '103.771713364181')"
1832,"('1.43456484461254', '103.827973678337')"
1833,"('1.43352498091281', '103.831330838156')"
1834,"('1.42923420821389', '103.828880603195')"
1835,"('1.42958489778701', '103.828851112708')"
1836,"('1.42903445415475', '103.830336353437')"
1837,"('1.43420896190542', '103.830974669529')"
1838,"('1.43350905989816', '103.830011887888')"
1839,"('1.4307163489422', '103.835798176096')"
1840,"('1.43371166670509', '103.831815032172')"
1841,"('1.43084061704702', '103.831855467796')"
1842,"('1.43116848559462', '103.834264424083')"
1843,"('1.43240777108289', '103.83452492794')"
1844,"('1.43212015583779', '103.839123120521')"
1845,"('1.43316260592868', '103.831684787748')"
1846,"('1.43454219874646', '103.842114172195')"
1847,"('1.43775877119441', '103.838690516562')"
1848,"('1.42621011729954', '103.831240144634')"
1849,"('1.42610183391787', '103.828966740535')"
1850,"('1.4396248933909', '103.837771054041')"
1851,"('1.43969859742694', '103.838828469463')"
1852,"('1.43195018839118', '103.832337855178')"
1853,"('1.43483127003663', '103.835814475757')"
1854,"('1.43270791512175', '103.840052416236')"
1855,"('1.42624600707611', '103.833233454885')"
1856,"('1.43138584014099', '103.837699405144')"
1857,"('1.43178338863003', '103.837440290013')"
1858,"('1.41767034348633', '103.838515102268')"
1859,"('1.37509746867904', '103.83761896123')"
1860,"('1.36544495225352', '103.842715047475')"
1861,"('1.36511023350774', '103.847379037914')"
1862,"('1.3700965375834', '103.837687766047')"
1863,"('1.36799988809778', '103.851873942231')"
1864,"('1.37140239598539', '103.854845849383')"
1865,"('1.37179067644703', '103.854961173992')"
1866,"('1.37203235843331', '103.857625381508')"
1867,"('1.37443139933504', '103.850157484705')"
1868,"('1.37392239168826', '103.855621371068')"
1869,"('1.38265184651407', '103.840858094028')"
1870,"('1.38120608763856', '103.842251233005')"
1871,"('1.36167030761833', '103.851955453764')"
1872,"('1.36907645907976', '103.838228660084')"
1873,"('1.37626067387977', '103.841230957516')"
1874,"('1.36371827871035', '103.850980294912')"
1875,"('1.36147707782617', '103.855300420198')"
1876,"('1.37109649780946', '103.84623152448')"
1877,"('1.3738661404098', '103.845935822176')"
1878,"('1.3734054063175', '103.851134219635')"
1879,"('1.37392862005901', '103.858665713793')"
1880,"('1.33178245077456', '103.939208398976')"
1881,"('1.3331333533723', '103.939110909704')"
1882,"('1.32797614118511', '103.927565110763')"
1883,"('1.32891558225172', '103.940528728774')"
1884,"('1.33716507441516', '103.919893055357')"
1885,"('1.33030163704738', '103.931086166936')"
1886,"('1.33079235635694', '103.913183390283')"
1887,"('1.31975664729808', '103.93427433992')"
1888,"('1.31814242416478', '103.93186323479')"
1889,"('1.33393217749941', '103.939470307742')"
1890,"('1.3543527093097', '103.835823721667')"
1891,"('1.35147881263426', '103.837185216121')"
1892,"('1.34602341469707', '103.741411023838')"
1893,"('1.34717025311255', '103.741298523595')"
1894,"('1.34715255032968', '103.742824825591')"
1895,"('1.3476807502065', '103.741887681534')"
1896,7 HILLVIEW AVEunavailable
1897,8 HILLVIEW AVEunavailable
1898,"('1.34957751809962', '103.743601296461')"
1899,"('1.34565932527612', '103.743411633447')"
1900,"('1.34827660376884', '103.754680867021')"
1901,"('1.3506524380389', '103.745625196086')"
1902,"('1.34848352110457', '103.756300449103')"
1903,"('1.34590310545134', '103.748811814397')"
1904,"('1.34566903930041', '103.740480275142')"
1905,"('1.34899500255547', '103.747258218606')"
1906,"('1.35786100812447', '103.747934507941')"
1907,"('1.35677744540734', '103.748785028965')"
1908,"('1.34962013436358', '103.75643213653')"
1909,"('1.34754443877804', '103.745796780836')"
1910,"('1.34745833930547', '103.747473341114')"
1911,"('1.34610021179301', '103.740229621691')"
1912,"('1.28742122514492', '103.828415534676')"
1913,"('1.27298528304053', '103.820252009798')"
1914,"('1.27414335069299', '103.822490459589')"
1915,"('1.28040157426854', '103.829278570017')"
1916,32 LOWER DELTA RDunavailable
1917,88 ZION RDunavailable
1918,90 ZION RDunavailable
1919,"('1.27698913358023', '103.820541104343')"
1920,"('1.27655921599768', '103.819821916902')"
1921,"('1.27691594809877', '103.821818722889')"
1922,"('1.28511622703447', '103.816866388884')"
1923,"('1.28455480420036', '103.816700900757')"
1924,"('1.2880016960752', '103.831614592325')"
1925,51 NILE RDunavailable
1926,54 NILE RDunavailable
1927,24 JLN MEMBINA BARATunavailable
1928,"('1.28152464770049', '103.829054629386')"
1929,"('1.27540949062767', '103.820660541826')"
1930,"('1.27608072351135', '103.820839521286')"
1931,"('1.2753534329115', '103.813588303131')"
1932,"('1.2893692748935', '103.821538089569')"
1933,"('1.28847543074122', '103.832848165751')"
1934,"('1.27669324661085', '103.818866609662')"
1935,"('1.31655990980042', '103.807288102167')"
1936,"('1.2869738344398', '103.839075823483')"
1937,"('1.2756191858993', '103.842431306625')"
1938,"('1.29860886084679', '103.852267043086')"
1939,"('1.30616360895626', '103.857776695846')"
1940,"('1.30758124026887', '103.851478219734')"
1941,"('1.37913357256794', '103.7547387164')"
1942,"('1.37919759061172', '103.753933666216')"
1943,"('1.303442198537', '103.768633365525')"
1944,"('1.31240641918888', '103.768752275192')"
1945,"('1.31251199063401', '103.763268836507')"
1946,"('1.31398325156569', '103.766533052946')"
1947,"('1.31427265951788', '103.771360860916')"
1948,"('1.30866602211237', '103.760258216299')"
1949,"('1.31912618587195', '103.766983653394')"
1950,"('1.31032016677093', '103.760411562158')"
1951,"('1.31144123230238', '103.769691998438')"
1952,"('1.31513509080723', '103.766054474051')"
1953,"('1.31562015307532', '103.770191690378')"
1954,"('1.31803746016205', '103.765413358653')"
1955,"('1.3184700954521', '103.764526086951')"
1956,"('1.31677716280701', '103.770897098036')"
1957,"('1.31949018164234', '103.767337871668')"
1958,"('1.3185553480936', '103.768028348058')"
1959,"('1.3144512993879', '103.769564479655')"
1960,"('1.32228557225905', '103.769201884359')"
1961,"('1.32170329030889', '103.886195689242')"
1962,"('1.31838863767065', '103.8866756731')"
1963,"('1.31811559287301', '103.898220673165')"
1964,"('1.30941607107151', '103.883900101162')"
1965,"('1.30840477810117', '103.887347527399')"
1966,"('1.30858953829757', '103.888244872808')"
1967,"('1.32935634839085', '103.903220788002')"
1968,"('1.32929452580121', '103.903634766965')"
1969,"('1.32906022188765', '103.903899355526')"
1970,"('1.31229349318871', '103.897692815712')"
1971,"('1.31767950785904', '103.884971551423')"
1972,"('1.30964078422608', '103.884471779925')"
1973,"('1.32968232343152', '103.885407993595')"
1974,"('1.32829434946575', '103.904204443823')"
1975,"('1.32327006239711', '103.881752246858')"
1976,"('1.32475910483394', '103.902107398949')"
1977,"('1.31629232098944', '103.878898984422')"
1978,"('1.31649949089692', '103.878383818547')"
1979,"('1.36378961600309', '103.891813266061')"
1980,"('1.36428542444529', '103.89046790222')"
1981,"('1.35151849772357', '103.887577515817')"
1982,"('1.35265338944725', '103.880292681446')"
1983,"('1.35961214567102', '103.891908245303')"
1984,6 TEBAN GDNS RDunavailable
1985,"('1.31987963533782', '103.741754021124')"
1986,"('1.34953251705686', '103.731532178493')"
1987,"('1.32075547790486', '103.74951968623')"
1988,"('1.32008314222894', '103.747247313974')"
1989,"('1.34096483548865', '103.74091413759')"
1990,"('1.34372175616439', '103.740222868909')"
1991,"('1.34543656763546', '103.735240571701')"
1992,"('1.34060750883164', '103.737453992981')"
1993,"('1.34107109436442', '103.737469981521')"
1994,"('1.33388558101654', '103.723688445754')"
1995,"('1.35131146892729', '103.722836259059')"
1996,"('1.34908423801413', '103.715342876347')"
1997,"('1.35105755054314', '103.724885928904')"
1998,"('1.3505040127211', '103.716474864776')"
1999,"('1.35325102149052', '103.726140256506')"
2000,"('1.34735305647602', '103.725320414071')"
2001,"('1.34914510993285', '103.716015402933')"
2002,"('1.35313192538561', '103.718943649817')"
2003,"('1.3534249409359', '103.721442695629')"
2004,"('1.34326615072684', '103.715411866571')"
2005,"('1.34378470716235', '103.715093852955')"
2006,"('1.34439040632356', '103.715097702741')"
2007,"('1.34495240658985', '103.715039943131')"
2008,"('1.34637376407877', '103.712472819666')"
2009,"('1.32314598295591', '103.855879621151')"
2010,"('1.32218898844635', '103.871612008197')"
2011,"('1.32338061098186', '103.870461630612')"
2012,"('1.32698180867095', '103.857761761594')"
2013,"('1.32602102238192', '103.858991981159')"
2014,"('1.32822306444761', '103.851519753845')"
2015,"('1.32328058266215', '103.858879246968')"
2016,"('1.31600523636073', '103.849791577341')"
2017,"('1.32292326712558', '103.863230452849')"
2018,"('1.31804081085615', '103.874222824064')"
2019,"('1.3021128018146', '103.909481434662')"
2020,"('1.30482902187779', '103.918614976369')"
2021,"('1.29849315572286', '103.797091217553')"
2022,"('1.29884708494079', '103.799641187531')"
2023,"('1.29752802071581', '103.797090201067')"
2024,"('1.29919438508046', '103.798524522256')"
2025,"('1.29798643686938', '103.798580757401')"
2026,"('1.29225467139033', '103.802856952057')"
2027,"('1.29187643649549', '103.802632277067')"
2028,"('1.30743411126247', '103.792897574712')"
2029,35 DOVER RDunavailable
2030,"('1.30587034566154', '103.799763604345')"
2031,"('1.30724943075855', '103.798938288338')"
2032,"('1.29898437435127', '103.796077213727')"
2033,"('1.30914384256219', '103.788419918626')"
2034,5 BUANGKOK STH FARMWAY 1unavailable
2035,1 SELETAR WEST FARMWAY 6unavailable
2036,2 SELETAR WEST FARMWAY 6unavailable
2037,"('1.35026200356709', '103.876485050647')"
2038,"('1.35417024638782', '103.866885724974')"
2039,"('1.37059316193953', '103.871086801722')"
2040,"('1.35598199427883', '103.870277102674')"
2041,"('1.36759548630876', '103.870917753447')"
2042,"('1.36669092359185', '103.871359067279')"
2043,"('1.35462817749301', '103.867068733428')"
2044,"('1.35501762599795', '103.868367739693')"
2045,"('1.35319103281952', '103.868691793358')"
2046,"('1.35354561348228', '103.868949823041')"
2047,"('1.35260972084146', '103.866222094228')"
2048,"('1.35877855850616', '103.945268291852')"
2049,"('1.35878092518789', '103.947275912962')"
2050,"('1.35086005592172', '103.952352388168')"
2051,"('1.34615587242231', '103.944507423219')"
2052,"('1.35019740098746', '103.939407095255')"
2053,"('1.34744378451781', '103.950617728372')"
2054,"('1.34596292007996', '103.939614775098')"
2055,"('1.35479532321043', '103.953935558339')"
2056,"('1.35120005626933', '103.953056653193')"
2057,"('1.34836421842072', '103.948158723814')"
2058,"('1.3486056231626', '103.939564083361')"
2059,"('1.34983189105156', '103.939568613828')"
2060,"('1.34587259826687', '103.939107246321')"
2061,"('1.35740703260416', '103.950996054997')"
2062,"('1.35702424225032', '103.951054363893')"
2063,"('1.35593242580821', '103.952746609869')"
2064,"('1.35783252178817', '103.946726918914')"
2065,"('1.35707271057215', '103.947601553633')"
2066,"('1.34734692651401', '103.937409006158')"
2067,"('1.35464005993806', '103.950100751181')"
2068,"('1.34121948900326', '103.847288831588')"
2069,"('1.34155252910062', '103.847295147125')"
2070,"('1.33864876713615', '103.844627302235')"
2071,"('1.33575723665506', '103.856789628423')"
2072,"('1.33628536216028', '103.848428644103')"
2073,"('1.33272795858038', '103.849994231509')"
2074,"('1.34206520209679', '103.84916543667')"
2075,"('1.33093933675526', '103.858181909317')"
2076,"('1.3343391689203', '103.869158899303')"
2077,"('1.33691029763166', '103.854030352751')"
2078,"('1.34265870846085', '103.854665608196')"
2079,2A WOODLANDS CTR RDunavailable
2080,"('1.43576274995203', '103.77402996229')"
2081,"('1.43397247465557', '103.777516916131')"
2082,"('1.4476075755764', '103.772062005139')"
2083,"('1.42834858574606', '103.831116272448')"
2084,"('1.4339506942268', '103.830439843368')"
2085,"('1.43144616456684', '103.836318885001')"
2086,"('1.43459030044018', '103.831139296919')"
2087,"('1.43431631548686', '103.840689452912')"
2088,"('1.43831415037996', '103.838226869973')"
2089,"('1.42688859174215', '103.834067042338')"
2090,"('1.42837434483814', '103.834360260444')"
2091,"('1.43165616021317', '103.831319107107')"
2092,"('1.43403211971292', '103.83882419471')"
2093,"('1.4371253783415', '103.840329022671')"
2094,"('1.43188685735306', '103.834255994974')"
2095,"('1.41742722691875', '103.831588869701')"
2096,"('1.36266297827625', '103.85651592319')"
2097,"('1.37416923724326', '103.853001920124')"
2098,"('1.37178518125527', '103.835965663569')"
2099,"('1.36789986956821', '103.846887401387')"
2100,"('1.36784101119026', '103.856041852124')"
2101,"('1.37520009617687', '103.853059796325')"
2102,"('1.38158208102128', '103.84327351566')"
2103,"('1.37144743640862', '103.841783557978')"
2104,"('1.33302040888706', '103.917037781105')"
2105,"('1.33244414877355', '103.941297978178')"
2106,"('1.3299667100249', '103.910782526741')"
2107,"('1.33130517787872', '103.909992224709')"
2108,"('1.32481986008075', '103.926258117679')"
2109,"('1.33755208890136', '103.925449316134')"
2110,"('1.33018552011132', '103.938716613648')"
2111,"('1.3197279369589', '103.946626870712')"
2112,"('1.32871338222698', '103.93409540275')"
2113,"('1.3359734160825', '103.923690295889')"
2114,"('1.32869685191205', '103.920949989657')"
2115,"('1.32509255644891', '103.942110168405')"
2116,"('1.31849377884951', '103.943872460454')"
2117,"('1.33104907831935', '103.935538768198')"
2118,"('1.33067394377665', '103.908738351193')"
2119,"('1.35489092310003', '103.838189857539')"
2120,"('1.35000839590252', '103.759862841397')"
2121,"('1.3605766052846', '103.746834002944')"
2122,"('1.35105549277865', '103.757080302123')"
2123,"('1.3482223088624', '103.74718849849')"
2124,"('1.34565480634643', '103.741047683313')"
2125,"('1.35046768430888', '103.757238545624')"
2126,"('1.36166738427595', '103.747725025434')"
2127,"('1.36101444441179', '103.74944732312')"
2128,"('1.36216472766267', '103.747628122263')"
2129,"('1.3473325859581', '103.748990389685')"
2130,"('1.3478485406884', '103.754034926985')"
2131,"('1.27842357024921', '103.826237590943')"
2132,138 ALEXANDRA RDunavailable
2133,142 TIONG BAHRU RDunavailable
2134,"('1.2869200622963', '103.818673592235')"
2135,91 ZION RDunavailable
2136,"('1.27446866093398', '103.8214740879')"
2137,"('1.27309040956353', '103.810143564301')"
2138,"('1.28857594666894', '103.807868203047')"
2139,"('1.27439718126241', '103.827239610439')"
2140,"('1.2736382341353', '103.836420334733')"
2141,"('1.27466096925721', '103.835279824837')"
2142,21 OUTRAM PKunavailable
2143,4 ROCHOR RDunavailable
2144,3 ROCHOR RDunavailable
2145,"('1.28762316970348', '103.841462885627')"
2146,"('1.30702756018287', '103.855527541511')"
2147,"('1.31535006995344', '103.770861377512')"
2148,"('1.31916901650246', '103.769053994968')"
2149,"('1.30897250380713', '103.75923292909')"
2150,"('1.31210124370815', '103.897187082666')"
2151,"('1.31782374680828', '103.88007758537')"
2152,"('1.32845731032674', '103.903274600324')"
2153,"('1.31380661212249', '103.896910477404')"
2154,"('1.31744387800501', '103.886373732265')"
2155,"('1.35916574841404', '103.891524298457')"
2156,"('1.37484339485806', '103.896994161364')"
2157,"('1.374704823057', '103.895365669184')"
2158,"('1.3649231962434', '103.889379532965')"
2159,"('1.36042828831936', '103.892206900827')"
2160,"('1.36553095979945', '103.889460635529')"
2161,"('1.36954473193202', '103.880476374526')"
2162,"('1.31955255991308', '103.742644766325')"
2163,"('1.31997450302269', '103.742739188864')"
2164,"('1.35055495259482', '103.73002911041')"
2165,"('1.34404144956674', '103.735500080389')"
2166,"('1.34449568862198', '103.740401081749')"
2167,"('1.3502205690563', '103.731260625944')"
2168,"('1.31851207644417', '103.747372481331')"
2169,"('1.32049772893293', '103.739967666096')"
2170,"('1.34140471346947', '103.735843456176')"
2171,"('1.35431435538399', '103.722395940054')"
2172,"('1.35104298967476', '103.715983010132')"
2173,"('1.34891152551365', '103.716458753581')"
2174,"('1.34645396448389', '103.716657742535')"
2175,"('1.34675547648094', '103.716157823017')"
2176,"('1.35392288813097', '103.72250572335')"
2177,"('1.35291393924454', '103.716072724817')"
2178,"('1.34812383298712', '103.722493887267')"
2179,"('1.34849427788134', '103.722162927115')"
2180,"('1.30237002555566', '103.88359641393')"
2181,"('1.32227606663002', '103.854799917943')"
2182,"('1.3233974126952', '103.866812029524')"
2183,"('1.32369795683614', '103.86209172719')"
2184,"('1.30186342536084', '103.884045467548')"
2185,"('1.39152550534761', '103.757266741055')"
2186,"('1.32197941678427', '103.855754340847')"
2187,"('1.32081280371197', '103.853803793872')"
2188,"('1.32372379609506', '103.862995082822')"
2189,"('1.32406159729828', '103.862833773877')"
2190,"('1.33575725870064', '103.787649889805')"
2191,"('1.32838935725024', '103.855750872335')"
2192,"('1.30510240111456', '103.91266479937')"
2193,"('1.3028498362788', '103.913197165824')"
2194,"('1.29847005618339', '103.798580178027')"
2195,39A C'WEALTH AVEunavailable
2196,"('1.29002050735811', '103.80318804437')"
2197,"('1.29879980768029', '103.796258856252')"
2198,"('1.29822839879022', '103.798585389303')"
2199,"('1.29407333493258', '103.800026532056')"
2200,31 DOVER RDunavailable
2201,"('1.4413385706483', '103.822410591339')"
2202,"('1.36938351007707', '103.8714075184')"
2203,"('1.35511076107735', '103.869934707698')"
2204,"('1.37103631988089', '103.870360910842')"
2205,"('1.35417532963527', '103.865967051985')"
2206,"('1.35424006743426', '103.869821831929')"
2207,"('1.35515863595555', '103.95401278891')"
2208,"('1.34554033527408', '103.936875522387')"
2209,"('1.35088781368026', '103.934458619058')"
2210,"('1.34988127726089', '103.954596296501')"
2211,"('1.35098787549144', '103.955482035159')"
2212,"('1.34557177331253', '103.95249806135')"
2213,"('1.35430306838396', '103.93590010205')"
2214,"('1.3326539531256', '103.85021164455')"
2215,"('1.34240196967061', '103.84522651153')"
2216,89 LOR 2 TOA PAYOHunavailable
2217,"('1.33548147418923', '103.862653751675')"
2218,"('1.33354743210386', '103.879065838406')"
2219,"('1.33387681149467', '103.852072555858')"
2220,"('1.34183370695987', '103.854370726041')"
2221,"('1.34117607884148', '103.85606624411')"
2222,"('1.33417548310927', '103.865610687284')"
2223,"('1.43781136682326', '103.778702019627')"
2224,"('1.43506711706505', '103.77423129783')"
2225,"('1.44209907015608', '103.773954877015')"
2226,"('1.43598707842969', '103.828641482509')"
2227,"('1.42893488907136', '103.827716191445')"
2228,"('1.42892493142687', '103.83124139277')"
2229,"('1.42892003886143', '103.833476161421')"
2230,"('1.43066191912434', '103.837334321945')"
2231,"('1.43255737199893', '103.830784110499')"
2232,"('1.435069715602', '103.836644751474')"
2233,"('1.43507473889027', '103.840795048444')"
2234,"('1.43533747562924', '103.837523010219')"
2235,"('1.43457623282091', '103.836620800984')"
2236,"('1.43509085774181', '103.84269104902')"
2237,"('1.43409342098238', '103.839979155802')"
2238,"('1.36956344301912', '103.844698910817')"
2239,"('1.37776263842074', '103.843782193293')"
2240,"('1.37529376778898', '103.855452425625')"
2241,"('1.38076896104696', '103.842378423538')"
2242,"('1.37635745661369', '103.842056476563')"
2243,"('1.36705284380639', '103.846987446489')"
2244,"('1.36352581163205', '103.853675347126')"
2245,"('1.36948046776679', '103.853309796692')"
2246,"('1.38115265431721', '103.843310287802')"
2247,"('1.37671105271454', '103.841168190659')"
2248,"('1.32751177120151', '103.942220384041')"
2249,"('1.33274009226511', '103.936223519694')"
2250,"('1.3281029219141', '103.932938109001')"
2251,"('1.32788785914047', '103.931835804463')"
2252,"('1.33149366261597', '103.927818703986')"
2253,"('1.33190104988461', '103.927743782081')"
2254,"('1.33006721315152', '103.911619264196')"
2255,"('1.32924536652386', '103.909923721507')"
